"stage_order","stage","experiment_family","title","status","research_question","design","methods","key_results","scientific_conclusion","limitations","source_tex","detailed_source","dense_experiment_ids"
"1","categorical_identity","step1_exact_identity","Exact categorical Fisher identity","complete","Why does a categorical log barrier correspond to Fisher-volume protection?","Exact enumeration for K=2,3,10,100 in CPU float64, including a near-boundary policy.","Exact categorical action enumeration.","All Bartlett, null-direction, reduced determinant, gradient, Hessian, and finite-difference checks passed; the largest documented directional finite-difference error was 2.80e-9 for K=100.","For fixed categorical logits, log det(F_reduced)=sum_a log pi(a), and the barrier restores unlikely actions.","This is a fixed-input reduced-coordinate identity, not a global neural Fisher determinant.","exploration/categorical_bandit_identity.tex","exploration/categorical_bandit_exploration.tex","step1_exact_identity"
"2","categorical_bandit","step2_smoke","Categorical bandit smoke run","complete_non_scientific","Does the stochastic bandit pipeline execute deterministically and save valid artifacts?","K=10, four runs, 200 updates.","SGB; entropy-SGB; NPG; LB-SGB.","All required smoke artifacts and finite-run checks completed.","The implementation pipeline was ready for scientific presets.","Too short and too small for scientific conclusions.","exploration/categorical_bandit_exploration.tex","exploration/results/categorical_bandit/smoke/summary.csv","step2_smoke;step2_smoke_paired"
"2","categorical_bandit","step2_pilot","Categorical bandit pilot grid","complete","Do the declared algorithms and diagnostics behave plausibly before the full grid?","K in {10,100}, alpha in {0.01,0.1}, ten runs, 2500 updates.","SGB; entropy-SGB; NPG; LB-SGB.","The pilot exposed NPG over-commitment and support loss at larger K or alpha, while the barrier preserved more interior geometry.","The pilot justified the full paper-grid and barrier-strength experiments.","Only ten runs and one tenth of the paper horizon.","exploration/categorical_bandit_exploration.tex","exploration/results/categorical_bandit/pilot/summary.csv","step2_pilot;step2_pilot_paired"
"2","categorical_bandit","step2_eta","Barrier-strength ablation","complete","How does barrier strength trade exploration against concentration?","K=10, alpha=0.1, T=25000, 100 paired runs; eta in {100,1000,10000} plus SGB.","SGB and three LB-SGB strengths.","Eta=1000 improved optimal-arm probability over SGB by 0.200, 95% CI [0.098,0.301]. Eta=100 overexplored; eta=10000 resembled unstable SGB. The cumulative-regret difference was unresolved.","A medium barrier strength best balanced support preservation and reward concentration in this declared setting.","The best eta is environment- and scale-dependent and must not be copied directly to RL.","exploration/categorical_bandit_exploration.tex","exploration/results/categorical_bandit/eta/summary.csv","step2_eta;step2_eta_paired"
"2","categorical_bandit","step2_paper_grid","Full categorical bandit paper-grid reproduction","complete","Does LB-SGB reproduce the paper mechanism across action count and step size?","K in {10,100,1000}, alpha in {0.01,0.1}, T=25000, 100 paired runs per cell; 2400 trajectories.","SGB; entropy-SGB; NPG; LB-SGB.","At alpha=0.1, optimal-arm probability was SGB/LB-SGB: 0.769/0.955 for K=10, 0.250/0.623 for K=100, and 0.050/0.127 for K=1000. At K=100, LB-SGB had about 93 times the minimum probability and a normalized log-Fisher-volume advantage of 4.622 [4.495,4.749].","Support preservation and continued correction were reproduced strongly for K=10 and K=100; K=1000 remained only partially solved.","At K=1000 the barrier still selected the wrong modal arm in 82% of runs and incurred more cumulative regret through continued exploration.","exploration/categorical_bandit_exploration.tex","exploration/results/categorical_bandit/paper/summary.csv","step2_paper;step2_paper_paired"
"3","exact_tabular_mdp","step3_verification","Exact two-state mathematical verification","complete","Are the return, pooled weighting, Fisher decomposition, and six barrier gradients implemented exactly?","CPU float64 exact trajectory and action enumeration, autograd cross-checks, and finite differences.","Exact analytical formulas versus independent enumeration/autograd.","All declared checks passed; representative reward-gradient error was 1.39e-17 and full-barrier finite-difference error was 5.37e-11.","The implementation cleanly distinguishes detached conditional, complete weighted, uniform action, visitation, and full pooled-Fisher objectives.","Verification establishes algebra and code consistency, not empirical superiority.","exploration/tabular_mdp/two_state_geometry.tex","exploration/results/tabular_mdp/two_step_trap/verification.json","step3_verification;step3_smoke_check"
"3","exact_tabular_mdp","step3_exact_geometry","Six exact objectives in the two-state trap MDP","complete","What changes when categorical action geometry and policy-dependent state visitation are separated?","Alpha=0.05, 2000 exact-gradient updates; beta in {0.01,0.1,0.2}; uniform and adverse starts, plus magnitude, step-size, and basin controls.","Reward only; detached conditional; complete weighted; uniform action; visitation only; full pooled Fisher.","At adverse start and beta=0.1, final (J,q,p_good) was reward-only (0.491,0.002,0.016), detached conditional (0.401,0.248,0.309), uniform action (0.565,0.533,0.699), visitation only (0.419,0.192,0.017), and full pooled Fisher (0.785,0.830,0.866).","Conditional action protection and visitation pressure are distinct directions; combining them improved recovery in this exact declared comparison.","The full objective also adds reward-independent visitation bias; disjoint tabular parameters do not transfer directly to shared neural networks.","exploration/tabular_mdp/two_state_geometry.tex","exploration/results/tabular_mdp/two_step_trap/summary.csv","step3_exact_geometry"
"4","sampled_tabular_mdp","step4_pilot","Sampled two-state pilot","complete","Does the finite-batch implementation reproduce the exact estimator identities and train stably?","Twenty seeds, full 2000 updates, and 5000 audit batches.","Sampled REINFORCE with five oracle barriers and one practical sampled conditional barrier.","The pilot reproduced finite-batch ratio bias, zero-downstream-state batches, and convergence toward the conditional oracle.","The full 100-seed estimator audit and training grid was justified.","Pilot Monte Carlo precision and seed count are lower than the full preset.","exploration/sampled_tabular_mdp/sampled_two_state.tex","exploration/results/tabular_mdp/two_step_trap_sampled/pilot/summary.csv","step4_training_pilot;step4_training_pilot_paired;step4_estimator_audit_pilot"
"4","sampled_tabular_mdp","step4_full_audit","Finite-batch estimator audit","complete","How do random transition counts affect state weights, conditional gradients, and the undamped empirical Fisher?","Five fixed policies; N in {1,2,4,8,16,32,64,128,256}; exact binomial moments and 50000 Monte Carlo batches per cell.","Population targets versus sampled state weights, sampled conditional gradients, reward gradients, and empirical Fishers.","For the adverse policy, P(no s1) was 0.938 at N=4 and 0.599 at N=32; at N=32 only 2.388% of empirical Fishers were full rank with a defined ordinary log determinant. Conditional-gradient bias decreased with N.","Rare-state batches can remove direct state protection entirely even when the estimator is asymptotically consistent.","Undamped empirical log determinants are often undefined; no spectral floor was added.","exploration/sampled_tabular_mdp/sampled_two_state.tex","exploration/results/tabular_mdp/two_step_trap_sampled/full/audit.csv","step4_estimator_audit_full;step4_verification"
"4","sampled_tabular_mdp","step4_full_training","Full sampled two-state training grid","complete","How does the practical sampled conditional barrier compare with exact regularizer controls during sampled learning?","Alpha=0.05, 2000 updates, beta in {0.01,0.1,0.2}, N in {4,32,128}, two starts, 100 paired seeds.","Reward only; five exact oracle regularizers; sampled detached conditional barrier.","At adverse start, N=32, beta=0.1, sampled conditional reached (J,q,p_good)=(0.400,0.246,0.302), close to its oracle (0.402,0.248,0.311). Their paired return gap shrank from -0.01324 at N=4 to -0.000407 at N=128.","The practical sampled estimator approaches the population conditional target as batch size grows but does not reproduce explicit visitation pressure.","Return differences do not prove Fisher geometry is causal, and the oracle visitation/full methods are not ordinary neural-rollout estimators.","exploration/sampled_tabular_mdp/sampled_two_state.tex","exploration/results/tabular_mdp/two_step_trap_sampled/full/summary.csv","step4_training_full;step4_training_full_paired"
